id,ano,produto,volume,linha,categoria_produto,subcategoria_produto,nivel_produto,eh_agregado
56,2016,  Vinagre simples,8186761,Outros,Derivados,Vinagre,3,False
57,2016,  Vinho acetificado,3097566,Outros,Derivados,Vinagre,3,False
58,2016,  Vinho base para espumantes,0,Outros,Vinho,Produto Final,3,False
59,2016,  Vinho composto,377685,Outros,Vinho,Produto Final,3,False
60,2016,  Vinho licoroso,546189,Outros,Vinho,Produto Final,3,False
61,2016,  Vinho leve,0,Outros,Vinho,Produto Final,3,False
62,2016,  Vinho gaseificado,0,Outros,Vinho,Produto Final,3,False
1,2017,VINHO DE MESA,176059959,,Vinho,Vinho de Mesa,1,True
2,2017,  Tinto,154309442,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
3,2017,  Rosado,1097426,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
4,2017,  Branco,20653091,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
5,2017,VINHO  FINO DE MESA,15874354,,Vinho,Vinifera,1,True
6,2017,  Tinto,12021684,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
7,2017,  Rosado,182080,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
8,2017,  Branco,3670590,Vinho de Mesa,Vinho,Vinho de Mesa,3,False
9,2017,VINHO FRIZANTE,1586985,,Vinho,Produto Final,3,False
10,2017,VINHO ORGÂNICO,0,,Vinho,Organico,3,False
11,2017,VINHO ESPECIAL,0,,Vinho,Especial,1,True
12,2017,  Tinto,0,Vinho Especial,Vinho,Vinho de Mesa,3,False
13,2017,  Rosado,0,Vinho Especial,Vinho,Vinho de Mesa,3,False
14,2017,  Branco,0,Vinho Especial,Vinho,Vinho de Mesa,3,False
15,2017,ESPUMANTES ,17583283,,Espumante,Produto Final,3,False
16,2017,  Espumante  Moscatel,5561181,Espumantes,Espumante,Produto Final,3,False
17,2017,  Espumante,12022102,Espumantes,Espumante,Produto Final,3,False
18,2017,  Espumante Orgânico,0,Espumantes,Espumante,Produto Final,3,False
19,2017,SUCO DE UVAS,107243326,,Suco,Suco de Uva,1,True
20,2017,  Suco Natural Integral,0,Sucos,Suco,Suco de Uva,3,False
21,2017,  Suco Adoçado,0,Sucos,Suco,Suco de Uva,3,False
22,2017,  Suco Reprocessado/reconstituido,0,Sucos,Suco,Suco de Uva,3,False
23,2017,  Suco Orgânico,0,Sucos,Suco,Suco de Uva,3,False
24,2017,  Outros sucos de uvas,0,Sucos,Suco,Suco de Uva,3,False
25,2017,SUCO DE UVAS CONCENTRADO,26815645,,Suco,Suco de Uva,3,False
26,2017,OUTROS PRODUTOS COMERCIALIZADOS,28027052,,Outros,Outros Produtos,1,True
27,2017,  Outros vinhos (sem informação detalhada),0,Outros,Vinho,Produto Final,3,False
28,2017,"  Agrin (fermentado, acetico misto)",0,Outros,Derivados,Derivados Industriais,2,False
29,2017,  Aguardente de vinho 50°gl,0,Outros,Vinho,Produto Final,3,False
30,2017,  Alcool vinico,49662,Outros,Destilado,Produto Final,3,False
31,2017,  Bagaceira (graspa),9257,Outros,Destilado,Produto Final,3,False
32,2017,  Base champenoise champanha,48866,Outros,Espumante,Base,2,False
33,2017,  Base charmat champanha,298836,Outros,Espumante,Base,2,False
34,2017,  Base espumante moscatel,139070,Outros,Espumante,Base,2,False
35,2017,  Bebida de uva,10297,Outros,Suco,Suco de Uva,3,False
36,2017,  Borra líquida,20795,Outros,Derivados,Derivados Industriais,2,False
37,2017,  Borra seca,4970,Outros,Derivados,Derivados Industriais,2,False
38,2017,  Brandy (conhaque),5089,Outros,Destilado,Produto Final,3,False
39,2017,  Cooler,2471612,Outros,Outros,Bebidas Mistas,3,False
40,2017,  Coquetel com vinho,418433,Outros,Outros,Bebidas Mistas,3,False
41,2017,  Destilado de vinho,0,Outros,Vinho,Produto Final,3,False
42,2017,  Filtrado doce,4208753,Outros,Derivados,Derivados Industriais,2,False
43,2017,  Jeropiga,508,Outros,Mosto,Intermediario,2,False
44,2017,  Mistelas,1194,Outros,Mosto,Intermediario,2,False
45,2017,  Mosto concentrado,0,Outros,Mosto,Intermediario,2,False
46,2017,  Mosto de uva,63971,Outros,Mosto,Intermediario,2,False
47,2017,  Mosto sulfitado,0,Outros,Mosto,Intermediario,2,False
48,2017,  Nectar de uva,4727294,Outros,Suco,Suco de Uva,3,False
49,2017,  Outros produtos,1082923,Outros,Outros,Outros Produtos,1,True
50,2017,  Polpa de uva,1876212,Outros,Suco,Suco de Uva,3,False
51,2017,  Preparado líquido para refresco,30519,Outros,Suco,Suco de Uva,3,False
52,2017,  Refrigerante +50% suco,0,Outros,Suco,Suco de Uva,3,False
53,2017,  Sangria,62272,Outros,Outros,Bebidas Mistas,3,False
54,2017,  Vinagre balsamico,81944,Outros,Derivados,Vinagre,3,False
55,2017,  Vinagre duplo,975992,Outros,Derivados,Vinagre,3,False
56,2017,  Vinagre simples,7686691,Outros,Derivados,Vinagre,3,False
57,2017,  Vinho acetificado,2769202,Outros,Derivados,Vinagre,3,False
58,2017,  Vinho base para espumantes,0,Outros,Vinho,Produto Final,3,False
59,2017,  Vinho composto,485944,Outros,Vinho,Produto Final,3,False
60,2017,  Vinho licoroso,496746,Outros,Vinho,Produto Final,3,False
61,2017,  Vinho leve,0,Outros,Vinho,Produto Final,3,False
